heure,zone,catr,grav,lat,long
07,1,3,1,47.56277,6.75832
07,1,3,3,47.56277,6.75832
15,2,4,1,47.02109,4.83755
15,2,4,3,47.02109,4.83755
19,1,4,1,44.902384,2.496418
19,1,4,3,44.902384,2.496418
19,1,4,4,44.902384,2.496418
17,2,4,4,49.19166,-0.39851
19,1,1,1,43.39,5.35
19,1,1,4,43.39,5.35
04,2,4,1,43.34147,5.37306
04,2,4,4,43.34147,5.37306
02,2,6,1,43.29253,5.37197
02,2,6,3,43.29253,5.37197
14,2,4,1,44.94319,4.84435
14,2,4,4,44.94319,4.84435
03,2,4,1,44.92386,4.81623
03,2,4,4,44.92386,4.81623
19,2,4,3,43.699069,7.2761
19,2,4,1,48.84046,2.413686
19,2,4,4,48.84046,2.413686
01,2,4,4,48.895031,2.306589
17,2,4,1,48.895989,2.374084
17,2,4,4,48.895989,2.374084
15,2,4,1,48.887588,2.380353
15,2,4,4,48.887588,2.380353
09,2,4,4,48.895772,2.383612
13,2,4,1,48.8894654,2.34958917
13,2,4,4,48.8894654,2.34958917
09,2,4,1,48.884462,2.294478
09,2,4,4,48.884462,2.294478
09,2,4,1,48.836521,2.276649
09,2,4,4,48.836521,2.276649
13,2,4,1,48.866538,2.351145
13,2,4,4,48.866538,2.351145
20,2,3,4,48.80667297,2.33685409
15,2,3,1,48.764218,2.405267
15,2,3,4,48.764218,2.405267
16,1,3,4,48.917254,4.398009
18,2,4,1,48.969184,4.382671
18,2,4,4,48.969184,4.382671
22,2,4,3,44.20886,0.6133
18,2,3,1,47.91537,1.86973
18,2,3,4,47.91537,1.86973
17,2,4,1,47.89795,1.9114
17,2,4,4,47.89795,1.9114
15,2,4,3,47.22275,-1.58511
15,2,4,4,47.22275,-1.58511
09,2,4,1,47.21121988,-1.64943399
09,2,4,4,47.21121988,-1.64943399
16,2,4,1,45.46448,4.36911
16,2,4,3,45.46448,4.36911
08,2,4,1,47.39355,0.68501
08,2,4,4,47.39355,0.68501
20,2,4,1,48.11337,-1.6476
20,2,4,3,48.11337,-1.6476
20,2,4,4,48.11337,-1.6476
08,1,4,1,43.41766,3.72361
08,1,4,4,43.41766,3.72361
11,2,4,1,43.609241,3.899127
11,2,4,4,43.609241,3.899127
21,2,4,3,44.83328,-0.56157
21,2,4,4,44.83328,-0.56157
16,2,4,1,44.8192,-0.53863
16,2,4,4,44.8192,-0.53863
12,2,4,1,44.61047,-1.1247
12,2,4,4,44.61047,-1.1247
17,2,3,4,47.99976064,-4.05189669
08,1,2,1,48.03157878,-4.0847009
08,1,2,4,48.03157878,-4.0847009
14,2,4,4,48.43894,1.45835
15,2,3,1,49.10003,1.47282
15,2,3,4,49.10003,1.47282
00,2,4,3,49.381011,1.197757
00,2,4,4,49.381011,1.197757
17,1,3,1,50.528461,3.229428
17,1,3,4,50.528461,3.229428
11,2,4,1,48.765484,2.409569
11,2,4,4,48.765484,2.409569
08,1,1,1,43.38322159,5.35134399
08,1,1,3,43.38322159,5.35134399
18,2,4,1,48.88632799,2.21105236
18,2,4,4,48.88632799,2.21105236
19,1,1,4,43.19282145,5.67970296
08,2,4,1,48.79936328,2.26319289
08,2,4,4,48.79936328,2.26319289
15,1,1,1,44.88827,-0.505076
15,1,1,4,44.88827,-0.505076
23,1,3,1,48.26548685,-1.84038296
23,1,3,3,48.26548685,-1.84038296
20,1,2,4,48.63558,2.40168
17,1,3,1,14.48823,-61.035286
17,1,3,3,14.48823,-61.035286
17,1,3,4,14.48823,-61.035286
12,1,1,1,48.7828929,2.34713213
12,1,1,4,48.7828929,2.34713213
07,1,3,3,48.661408,-3.340171
07,1,3,4,48.661408,-3.340171
08,1,1,1,48.7979586,2.34382693
08,1,1,4,48.7979586,2.34382693
16,1,2,1,48.88924861,2.24664633
16,1,2,4,48.88924861,2.24664633
10,1,2,1,48.77873,2.22253
10,1,2,4,48.77873,2.22253
18,2,3,4,50.207004,2.945676
19,1,1,1,49.00052596,2.52228228
19,1,1,4,49.00052596,2.52228228
13,1,3,1,43.462552,5.805985
13,1,3,4,43.462552,5.805985
18,1,1,1,48.99549387,2.18244976
18,1,1,4,48.99549387,2.18244976
08,1,3,1,48.18986357,-1.72171533
08,1,3,4,48.18986357,-1.72171533
21,2,3,3,49.061074,3.965064
13,1,1,1,48.84923308,2.49127999
13,1,1,4,48.84923308,2.49127999
16,2,3,1,48.157541,7.544373
16,2,3,4,48.157541,7.544373
00,1,1,4,48.83262,2.66222
04,2,3,4,48.8951,0.334224
23,1,2,3,44.34425591,0.70732384
19,2,4,3,49.54523,5.7843
19,2,4,4,49.54523,5.7843
12,1,3,4,43.58765,3.456337
18,1,3,4,48.218447,-3.203169
18,2,4,1,-22.27444,166.44549
18,2,4,4,-22.27444,166.44549
18,2,3,1,48.5833,6.943762
18,2,3,4,48.5833,6.943762
15,2,4,1,-17.5381,-149.5646
15,2,4,4,-17.5381,-149.5646
18,2,4,4,-21.35266,55.50573
14,2,4,1,48.034026,0.197325
14,2,4,3,48.034026,0.197325
18,2,2,1,-20.90076,55.49647
18,2,2,4,-20.90076,55.49647
16,1,3,1,43.60650064,-1.1605823
16,1,3,3,43.60650064,-1.1605823
19,2,7,4,45.72017,4.81804
14,2,3,1,46.977724,-1.314123
14,2,3,3,46.977724,-1.314123
16,2,3,1,46.78939,-0.99325
16,2,3,4,46.78939,-0.99325
18,2,4,1,45.75779,4.835
18,2,4,4,45.75779,4.835
12,2,3,1,47.34102222,0.72294492
12,2,3,3,47.34102222,0.72294492
02,2,2,4,42.66,9.441
07,1,1,1,48.2778,3.8045
07,1,1,3,48.2778,3.8045
07,1,1,4,48.2778,3.8045
09,1,3,2,43.11299593,0.84459186
09,1,3,4,43.11299593,0.84459186
23,1,2,2,45.14306306,3.55995655
23,1,2,4,45.14306306,3.55995655
09,2,4,1,-17.60388,-149.594679
09,2,4,3,-17.60388,-149.594679
18,2,4,1,-22.22056,166.47229
18,2,4,3,-22.22056,166.47229
11,1,3,2,45.44142,4.145257
10,1,1,1,48.331233,1.865235
10,1,1,3,48.331233,1.865235
12,2,3,1,42.33025,9.48972
12,2,3,3,42.33025,9.48972
01,1,3,4,43.427975,3.414087
08,1,3,4,49.16171369,6.92162553
12,2,4,1,45.852362,5.058889
12,2,4,3,45.852362,5.058889
17,2,3,1,49.216616,2.59846
17,2,3,4,49.216616,2.59846
17,1,2,4,48.63771,2.53525
12,1,2,1,48.63129,2.49195
12,1,2,4,48.63129,2.49195
10,1,1,1,48.74727,2.32682
10,1,1,4,48.74727,2.32682
09,1,1,1,48.69407,2.31992
09,1,1,4,48.69407,2.31992
07,1,2,4,48.788977,2.060813
15,1,1,1,48.83850309,2.19236004
15,1,1,4,48.83850309,2.19236004
02,1,2,1,48.788071,2.06254
02,1,2,4,48.788071,2.06254
08,1,1,1,48.82854107,2.47576095
08,1,1,4,48.82854107,2.47576095
06,2,3,1,48.90438,2.33128
06,2,3,4,48.90438,2.33128
13,2,3,1,48.911479,2.357725
13,2,3,4,48.911479,2.357725
15,2,4,1,48.89938,2.55958
15,2,4,4,48.89938,2.55958
08,2,3,1,48.937176,2.498623
08,2,3,4,48.937176,2.498623
14,2,4,1,46.194111,6.23685
14,2,4,4,46.194111,6.23685
17,1,4,1,-20.93623082,55.32559848
17,1,4,3,-20.93623082,55.32559848
19,2,4,1,45.74826,4.84363
19,2,4,4,45.74826,4.84363
17,2,4,1,45.75256,4.88829
17,2,4,4,45.75256,4.88829
14,1,1,1,14.61775,-61.01864
14,1,1,4,14.61775,-61.01864
03,1,3,1,14.63752,-60.99181
03,1,3,4,14.63752,-60.99181
18,2,4,1,45.74846,4.83158
18,2,4,4,45.74846,4.83158
22,2,4,2,48.95155,2.196133
13,2,4,1,44.05376,5.04861
13,2,4,3,44.05376,5.04861
15,2,3,1,43.12512,6.18951
15,2,3,3,43.12512,6.18951
11,1,3,2,43.51297,6.83226
15,1,4,1,48.9713,2.92012
15,1,4,4,48.9713,2.92012
17,2,3,1,43.40135,-1.63715
17,2,3,4,43.40135,-1.63715
19,2,4,1,43.28798,-0.39093
19,2,4,4,43.28798,-0.39093
13,2,3,1,50.49439339,2.54403966
13,2,3,4,50.49439339,2.54403966
17,2,4,4,50.73142,3.16556
17,2,7,1,50.62835,3.10533
17,2,7,4,50.62835,3.10533
09,2,4,1,50.6814,2.88238
09,2,4,3,50.6814,2.88238
09,2,4,1,48.899448,6.044139
09,2,4,3,48.899448,6.044139
13,2,4,1,49.255104,4.054886
13,2,4,4,49.255104,4.054886
01,1,4,3,47.969447,2.782592
18,1,3,1,45.38624,5.57452
18,1,3,3,45.38624,5.57452
01,2,4,1,45.17762,5.71809
01,2,4,4,45.17762,5.71809
13,2,4,1,45.58638,5.28112
13,2,4,4,45.58638,5.28112
18,2,4,1,47.3495,0.66814
18,2,4,4,47.3495,0.66814
19,2,4,3,48.11918363,-1.67516291
16,2,4,1,44.84949,-0.60115
16,2,4,4,44.84949,-0.60115
08,2,4,1,43.29574555,5.57275381
08,2,4,4,43.29574555,5.57275381
